filename,width,height,class,xmin,ymin,xmax,ymax
actinic keratosis (1).jpg,1500,951,Actinic Keratosis,827,287,1360,820
actinic keratosis (10).jpg,768,609,Actinic Keratosis,213,100,582,501
actinic keratosis (11).jpg,380,228,Actinic Keratosis,141,7,321,228
actinic keratosis (12).jpg,1221,930,Actinic Keratosis,24,15,1161,930
actinic keratosis (13).jpeg,750,1000,Actinic Keratosis,51,63,687,977
actinic keratosis (2).jpg,2048,1536,Actinic Keratosis,425,228,1899,1088
actinic keratosis (3).jpg,768,535,Actinic Keratosis,97,189,500,477
Actinic keratosis (4).jpg,798,464,Actinic Keratosis,109,17,723,445
actinic keratosis (5).jpg,1600,1208,Actinic Keratosis,929,153,1575,1050
actinic keratosis (6).jpg,1240,827,Actinic Keratosis,238,78,1136,827
actinic keratosis (7).jpg,768,768,Actinic Keratosis,344,307,634,539
actinic keratosis (8).jpg,768,768,Actinic Keratosis,377,331,581,534
actinic keratosis (9).jpg,2594,2000,Actinic Keratosis,614,390,1914,1623
Actinic keratosis.jpeg,2048,1536,Actinic Keratosis,425,112,1776,1316
actinic-keratosis-doktersehat.jpg,1024,680,Actinic Keratosis,299,147,680,544
c0168190-actinic-keratosis-scalp-science-photo-library-high_uk.jpg,350,232,Actinic Keratosis,82,51,300,206
Close_view_of_actinic_keratosis.JPG,220,160,Actinic Keratosis,48,28,199,153
download (1).jpg,278,181,Actinic Keratosis,32,18,208,161
download.jpg,275,183,Actinic Keratosis,108,37,224,154
solar-keratosis-0-alodokter.jpg,650,434,Actinic Keratosis,241,186,538,413
