filename,width,height,class,xmin,ymin,xmax,ymax
Basa Cell Carcinoma (10).jpg.crdownload.jpg,1600,1068,Basa Cell Carcinoma,784,372,1430,681
basa cell carcinoma (15).jpg,750,500,Basa Cell Carcinoma,291,159,501,344
Basa Cell Carcinoma (16).jpg,472,700,Basa Cell Carcinoma,18,169,472,514
Basa Cell Carcinoma (18).jpg,388,314,Basa Cell Carcinoma,134,57,314,238
Basa Cell Carcinoma (19).jpg,1500,1125,Basa Cell Carcinoma,682,461,975,685
Basa Cell Carcinoma (2).jpg,1500,1104,Basa Cell Carcinoma,705,422,1010,688
Basa Cell Carcinoma (20).jpg,640,479,Basa Cell Carcinoma,186,104,441,358
Basa Cell Carcinoma (25).jpg,400,272,Basa Cell Carcinoma,154,109,270,201
Basa Cell Carcinoma (4).jpg,1500,908,Basa Cell Carcinoma,309,274,1316,858
Basa Cell Carcinoma (9).jpg,1500,1125,Basa Cell Carcinoma,462,372,1019,718
bcc10.jpg,640,420,Basa Cell Carcinoma,43,172,589,417
bcc11.jpg,640,414,Basa Cell Carcinoma,211,122,400,294
bcc12.jpg,640,417,Basa Cell Carcinoma,216,106,506,412
bcc2.jpg,900,596,Basa Cell Carcinoma,390,261,547,393
bcc4.jpg,640,420,Basa Cell Carcinoma,275,219,375,341
bcc5.jpg,640,414,Basa Cell Carcinoma,255,137,425,355
bcc6.jpg,639,425,Basa Cell Carcinoma,169,11,476,394
bcc7.jpg,640,422,Basa Cell Carcinoma,97,60,493,391
bcc8.jpg,317,367,Basa Cell Carcinoma,87,177,235,324
bcc9.jpg,467,479,Basa Cell Carcinoma,122,201,213,296
