filename,width,height,class,xmin,ymin,xmax,ymax
069842700_1622195028-Cara_Menghilangkan_Eksim_di_Wajah.jpg,1200,675,Eksim,139,82,627,530
1.jpg,800,400,Eksim,8,27,324,378
1.jpg,800,400,Eksim,615,38,800,400
425-shutterstock_1433220686.jpg,1000,667,Eksim,306,111,802,602
74204-eksim-penyakit-kulit.jpg,970,544,Eksim,153,6,413,511
74204-eksim-penyakit-kulit.jpg,970,544,Eksim,567,1,859,480
eczema (1).png,550,436,Eksim,27,7,225,312
eczema (1).png,550,436,Eksim,370,1,550,300
eczema (10).jpg,722,406,Eksim,81,4,282,406
eczema (10).jpg,722,406,Eksim,398,1,668,406
eczema (11).jpg,590,525,Eksim,361,210,531,349
eczema (11).jpg,590,525,Eksim,187,307,519,525
eczema (12).jpg,1600,1069,Eksim,292,1,692,855
eczema (12).jpg,1600,1069,Eksim,655,283,1262,897
Eczema (2).jpg,1337,1600,Eksim,135,575,812,1180
Eczema (2).jpg,1337,1600,Eksim,272,27,1010,565
eczema (3).jpg,1500,958,Eksim,279,173,1201,725
eczema (4).webp,2448,3264,Eksim,470,1524,2256,2576
Eczema (5).jpg,1440,810,Eksim,801,1,1175,625
eczema (6).webp,924,1028,Eksim,185,163,739,928
eczema (7).jpg,634,831,Eksim,50,278,424,731
eczema (7).jpg,634,831,Eksim,48,1,475,269
eczema (8).jpg,294,222,Eksim,15,1,294,222
Eczema.jpg,3008,2000,Eksim,2129,938,3008,2000
eksim1.jpg,320,260,Eksim,4,1,272,254
obat_eksim_alami_gejala_eksim_bayi.jpg,740,494,Eksim,212,160,546,477
Obat_Eksim_Kering.jpg,550,374,Eksim,64,100,544,345
