filename,width,height,class,xmin,ymin,xmax,ymax
1643237283_flek-hitam.jpg,800,600,Flek Hitam,60,98,587,551
3714-Dermatosis_papulosa_nigra-648x364-body.jpg,648,364,Flek Hitam,32,3,648,364
50000464ccf7dd4d8b562c5add10ad10.jpg,685,385,Flek Hitam,26,104,618,346
9363c3f3-ee2d-45a9-9548-7921cfd7ce05_4d7bc616.jpg,608,796,Flek Hitam,172,3,608,460
AGEING-BLACK-SPOTS.jpg,301,167,Flek Hitam,71,4,286,161
b64688_1590dc656e794dd3b19dc55fc47c5129~mv2.jpg,640,414,Flek Hitam,202,1,499,315
b64688_d4a8a6d4475a4b90b8552a140936c711~mv2.jpg,640,414,Flek Hitam,336,190,455,273
Berbagai-Macam-Obat-Medis-untuk-Atasi-Flek-Hitam.jpg,702,465,Flek Hitam,133,20,679,394
bmn.jpg,300,168,Flek Hitam,73,31,289,115
Can_Vitamin_C_Remove_Dark_Spots__X_Benefits___Urban_Skin_Rx.jpg,850,567,Flek Hitam,251,20,599,397
dark_spots_550x600_ebf260ba-6b1b-4a6c-96c3-c26e08dea3e2.jpg,552,600,Flek Hitam,150,73,552,363
f.jpg,259,194,Flek Hitam,139,83,216,164
ff.jpg,750,500,Flek Hitam,133,68,494,500
flek-hitam-halodoc.jpg,643,355,Flek Hitam,262,151,399,244
How_to_get_rid_of_dark_spots_on_your_face.jpg,1920,1080,Flek Hitam,504,42,1852,1028
kokoloteun-5c70ff98677ffb0fe8597fcd.jpg,470,241,Flek Hitam,33,102,143,235
kokoloteun-5c70ff98677ffb0fe8597fcd.jpg,470,241,Flek Hitam,194,16,300,178
kokoloteun-5c70ff98677ffb0fe8597fcd.jpg,470,241,Flek Hitam,321,96,462,231
RTEmagicC_092515_PRF.jpg,400,557,Flek Hitam,16,151,287,557
Screenshot-2023-01-30-091946.jpg,745,541,Flek Hitam,24,63,596,419
X_Perawatan_Wajah_untuk_Usir_Flek_Hitam-halodoc.jpg,702,465,Flek Hitam,211,49,674,391
yu.jpg,1265,711,Flek Hitam,242,19,1265,711
