filename,width,height,class,xmin,ymin,xmax,ymax
acne closed comedo (1).jpg,900,675,jerawat,1,96,900,670
acne closed comedo (2).jpg,432,322,jerawat,78,129,375,265
acne closed comedo (4).jpg,224,177,jerawat,1,1,224,177
acne closed comedo.jpg,414,272,jerawat,6,10,414,210
acne cystic (1).jpg,2089,1496,jerawat,174,211,1976,1157
acne cystic (4).jpg,634,846,jerawat,122,77,377,218
acne cystic (4).jpg,634,846,jerawat,90,338,213,443
acne cystic (4).jpg,634,846,jerawat,317,323,434,454
acne cystic (4).jpg,634,846,jerawat,153,482,396,579
acne cystic (4).jpg,634,846,jerawat,216,222,304,413
acne cystic (5).jpg,766,450,jerawat,15,9,661,449
acne cystic (7).jpg,568,379,jerawat,191,1,526,358
acne cystic.jpg,1500,999,jerawat,493,270,1188,808
acne excoriated (1).jpg,294,222,jerawat,173,59,260,167
acne excoriated (2).jpg,409,265,jerawat,47,67,359,245
acne excoriated (4).jpg,640,480,jerawat,134,163,481,461
acne excoriated (5).jpg,1640,1095,jerawat,219,452,1262,880
acne excoriated.jpg,1604,1216,jerawat,292,341,1156,1134
acne open comedo (10).jpg,258,195,jerawat,128,40,201,154
acne open comedo (11).jpg,258,195,jerawat,38,13,252,172
acne open comedo (3).jpg,1280,720,jerawat,24,22,1262,720
acne open comedo (4).jpg,294,222,jerawat,144,44,246,190
acne open comedo (5).jpg,294,222,jerawat,43,6,292,194
acne open comedo (6).jpg,258,195,jerawat,5,17,254,186
acne open comedo (7).jpg,258,195,jerawat,36,12,258,191
acne open comedo (8).jpg,258,195,jerawat,37,1,252,160
acne open comedo (9).jpg,258,195,jerawat,11,33,258,166
acne open comedo.jpg,474,355,jerawat,67,1,470,295
acne pitted scars (1).jpg,1200,900,jerawat,284,75,1200,849
acne pitted scars (3).jpg,3083,3083,jerawat,68,38,2313,3083
acne pitted scars.jpg,1074,806,jerawat,26,9,646,677
acne pustular (1).jpg,641,393,jerawat,32,33,636,364
acne pustular (3).jpg,1024,768,jerawat,4,6,1024,768
acne pustular.png,500,499,jerawat,53,4,500,445
