filename,width,height,class,xmin,ymin,xmax,ymax
0a242212407a8deee44953850aa8.jpg,550,366,Kerutan,252,87,358,268
1140-mature-woman-eye-wrinkles-habits-that-cause-wrinkles-esp.jpg,1140,655,Kerutan,4,229,282,514
1140-mature-woman-eye-wrinkles-habits-that-cause-wrinkles-esp.jpg,1140,655,Kerutan,197,381,555,498
375-shutterstock.jpg,1124,750,Kerutan,634,93,913,415
375-shutterstock.jpg,1124,750,Kerutan,256,331,883,555
5e9f474b4bca6310ef35e354.jpg,700,467,Kerutan,69,126,290,198
5e9f474b4bca6310ef35e354.jpg,700,467,Kerutan,415,115,649,194
5e9f474b4bca6310ef35e354.jpg,700,467,Kerutan,146,235,297,467
5e9f474b4bca6310ef35e354.jpg,700,467,Kerutan,451,326,550,467
depositphotos_129489508-stock-photo-senior-woman-face.jpg,600,400,Kerutan,86,145,370,258
depositphotos_129489508-stock-photo-senior-woman-face.jpg,600,400,Kerutan,389,1,478,111
ds00890-sn7_wrinklesthu_jpg.jpg.jpg,631,416,Kerutan,442,175,555,346
ds00890-sn7_wrinklesthu_jpg.jpg.jpg,631,416,Kerutan,84,1,217,340
h.jpg,275,183,Kerutan,165,58,256,114
h.jpg,275,183,Kerutan,75,43,118,107
h.jpg,275,183,Kerutan,111,97,222,153
image.jpg,1254,836,Kerutan,169,305,638,666
image.jpg,1254,836,Kerutan,488,463,1120,695
images.jpg,275,183,Kerutan,139,42,205,108
imagesss.jpg,268,188,Kerutan,37,62,251,124
imagesss.jpg,268,188,Kerutan,217,131,266,188
istockphoto-1082691656-170667a.jpg,509,339,Kerutan,217,94,400,339
istockphoto-1082691656-170667a.jpg,509,339,Kerutan,48,205,289,275
istockphoto-1082691656-170667a.jpg,509,339,Kerutan,47,99,114,202
istockphoto-1082691656-170667a.jpg,509,339,Kerutan,105,110,237,153
istockphoto-1291770890-612x612.jpg,612,443,Kerutan,98,48,245,244
istockphoto-1291770890-612x612.jpg,612,443,Kerutan,414,79,543,219
smiling-lady-579a25f65f9b589aa90711de.jpg,1500,1000,Kerutan,667,144,840,454
smiling-lady-579a25f65f9b589aa90711de.jpg,1500,1000,Kerutan,722,554,911,800
smiling-lady-579a25f65f9b589aa90711de.jpg,1500,1000,Kerutan,1371,590,1500,810
smiling-lady-579a25f65f9b589aa90711de.jpg,1500,1000,Kerutan,1326,318,1500,400
the-facebible-lines-and-wrinkles-1.jpg,801,1141,Kerutan,409,256,798,670
wrinkles1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,80,128,266,215
wrinkles2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,106,28,278,192
wrinkles3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,41,51,287,122
wrinkles3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,21,140,59,222
wrinkles3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,246,153,282,222
wrinkles4__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,26,45,265,208
wrinkles5__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,22,5,246,209
wrinkles6__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,173,100,294,151
wrinkles6__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,10,106,157,148
wrinkles6__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,18,47,121,96
wrinkles6__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg.jpg,294,222,Kerutan,176,50,277,92
