filename,width,height,class,xmin,ymin,xmax,ymax
11.jpg,294,222,Milia,83,68,232,192
12.jpg,294,222,Milia,17,93,191,202
12.jpg,294,222,Milia,203,50,294,129
13.jpg,294,222,Milia,73,18,294,222
14.jpg,294,222,Milia,104,6,256,181
15.jpg,294,222,Milia,33,64,287,158
16.jpg,294,222,Milia,32,90,294,202
17.jpg,294,222,Milia,59,60,273,144
18.jpg,294,222,Milia,32,78,191,168
19.jpg,294,222,Milia,52,23,294,222
2.jpg,294,222,Milia,39,3,292,222
20.jpg,294,222,Milia,60,124,286,222
21.jpg,294,222,Milia,23,9,278,222
22.jpg,294,222,Milia,81,11,247,206
23.jpg,294,222,Milia,104,24,217,199
3.jpg,294,222,Milia,17,22,211,213
4.jpg,294,222,Milia,1,28,281,159
5.jpg,294,222,Milia,77,15,229,219
8.jpg,294,222,Milia,39,14,294,200
1.jpg,294,222,Milia,81,2,223,147
Milia.jpg,643,355,Milia,289,151,559,305
