filename,width,height,class,xmin,ymin,xmax,ymax
Rosacea (37).jpg,294,222,Rosacea,48,51,270,197
Rosacea (38).jpg,294,222,Rosacea,16,7,290,209
Rosacea (39).jpg,294,222,Rosacea,9,14,279,175
Rosacea (52).jpg,294,222,Rosacea,3,106,294,222
Rosacea (53).jpg,294,222,Rosacea,88,20,291,213
Rosacea (54).jpg,294,222,Rosacea,16,5,114,103
Rosacea (55).jpg,294,222,Rosacea,20,2,160,210
Rosacea (57).jpg,294,222,Rosacea,73,93,160,209
Rosacea (58).jpg,294,222,Rosacea,124,112,193,172
Rosacea (59).jpg,294,222,Rosacea,94,58,222,165
Rosacea (60).jpg,294,222,Rosacea,67,37,218,183
Rosacea (61).jpg,294,222,Rosacea,26,19,279,110
Rosacea (62).jpg,294,222,Rosacea,34,39,268,201
Rosacea (64).jpg,294,222,Rosacea,24,111,113,182
Rosacea (64).jpg,294,222,Rosacea,29,1,192,83
Rosacea (64).jpg,294,222,Rosacea,127,57,258,212
Rosacea (65).jpg,294,222,Rosacea,34,115,286,222
Rosacea (66).jpg,294,222,Rosacea,98,19,191,138
Rosacea (67).jpg,294,222,Rosacea,64,21,220,114
Rosacea (68).jpg,294,222,Rosacea,47,2,294,222
Rosacea (69).jpg,294,222,Rosacea,5,4,294,222
Rosacea (70).jpg,294,222,Rosacea,226,2,294,222
