filename,width,height,class,xmin,ymin,xmax,ymax
0_JS186891892.jpg,1200,1200,Vitiligo,122,179,704,1118
127909f2e4865f6c4d71f5e0e85a6953.jpg,1280,720,Vitiligo,501,7,1053,621
262_vitiligo_slide_7_springer_high.jpg,704,939,Vitiligo,35,241,627,840
593307.jpg,848,477,Vitiligo,285,23,636,440
breanne-rice-600-269fafea25684c82a526ec534f2b5bf6.jpg,600,600,Vitiligo,192,147,465,481
Copy of young-Brazilian-woman-with-Vitiligo-on-face-and-lips_1024x1024.jpg,640,400,Vitiligo,250,133,532,318
download.jpg,563,800,Vitiligo,31,309,285,622
download.jpg,563,800,Vitiligo,294,63,563,558
GettyImages-1310862767-eabc3042c93e44939122c50a7b89a0f7.jpg,1500,1000,Vitiligo,636,220,1447,611
GettyImages-1310862767-eabc3042c93e44939122c50a7b89a0f7.jpg,1500,1000,Vitiligo,858,11,1131,223
GettyImages-1310862767-eabc3042c93e44939122c50a7b89a0f7.jpg,1500,1000,Vitiligo,725,759,1347,1000
istockphoto-1310864038-612x612.jpg,394,612,Vitiligo,91,169,311,456
istockphoto-1316597824-612x612.jpg,612,408,Vitiligo,172,56,301,199
market vendor kasım kafa2 vitiligo face v2.jpg,460,345,Vitiligo,51,60,232,253
p08hzcb2.jpg,1024,576,Vitiligo,348,184,723,570
S_1017_Vitiligo_M2900160.width-320.jpg,320,213,Vitiligo,125,1,247,212
vitiligo 1.jpg,653,366,Vitiligo,169,10,490,366
vitiligo 2.webp,540,719,Vitiligo,100,181,392,550
Vitiligo 3.jpg,1000,1000,Vitiligo,241,105,782,917
Vitiligo 4.jpg,474,266,Vitiligo,173,33,280,182
Vitiligo-affecting-the-skin-of-the-eyes-mouth-and-chin-body5.jpg,1155,648,Vitiligo,406,123,773,276
Vitiligo-affecting-the-skin-of-the-eyes-mouth-and-chin-body5.jpg,1155,648,Vitiligo,456,331,730,600
vitiligo-symptoms.jpg,980,700,Vitiligo,345,33,760,544
vitiligo.jpg,1359,1035,Vitiligo,366,146,940,745
young-Brazilian-woman-with-Vitiligo-on-face-and-lips_1024x1024.jpg,640,400,Vitiligo,259,160,552,313
